Input Word	Returned root	Expected root: 	Returned_root_BIRS: 
দুর্নীতিটি,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিখানা,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিদের,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিবৃন্দ		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিকে,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতির,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিের,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিতে,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিে		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিই,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিও		দুর্নীতি		দুর্নীতি		দুর্নীত
অট্টালিকাগুলো,	অট্টালিকা		অট্টালিকা		অট্টালিকাগুলো,
অট্টালিকাটা,		অট্টালিকা		অট্টালিকা		অট্টালিকাটা,
অট্টালিকাটি,		অট্টালিকা		অট্টালিকা		অট্টালিকাটি,
অট্টালিকাখানা,	অট্টালিকা		অট্টালিকা		অট্টালিকাখানা,
অট্টালিকাদের,	অট্টালিকা		অট্টালিকা		অট্টালিকাদের,
অট্টালিকাবৃন্দ	অট্টালিকা		অট্টালিকা		অট্টালিকাবৃন্দ
অট্টালিকাকে,	অট্টালিকা		অট্টালিকা		অট্টালিকাকে,
অট্টালিকার,		অট্টালিকা		অট্টালিকা		অট্টালিকার,
অট্টালিকাের,	অট্টালিকা		অট্টালিকা		অট্টালিকাের,
অট্টালিকাতে,	অট্টালিকা		অট্টালিকা		অট্টালিকাতে,
অট্টালিকাে		অট্টালিকা		অট্টালিকা		অট্টালিকাে
অট্টালিকাই,		অট্টালিকা		অট্টালিকা		অট্টালিকাই,
অট্টালিকাও		অট্টালিকা		অট্টালিকা		অট্টালিকাও
খেলাগুলো,		খেলানো		খেলা		খেলা
খেলাটা,		খাটা		খেলা		খেলা
খেলাটি,		খেলা		খেলা		খেলা
খেলাখানা,		জেলখানার		খেলা		খেলা
খেলাদের,		তোমাদের		খেলা		খেলা
খেলাবৃন্দ		খেলা		খেলা		খেলা
খেলাকে,		খেলা		খেলা		খেলা
খেলার,		খেলা		খেলা		খেলা
খেলাের,		খেলা		খেলা		খেলা
খেলাতে,		খেলাত		খেলা		খেলা
খেলাে		খেলা		খেলা		খেলা
খেলাই,		খেলা		খেলা		খেলা
খেলাও		খেলা		খেলা		খেলা
গভর্নরগুলো,		গভর্নর		গভর্নর		গভর্নর
গভর্নরটা,		গভর্নর		গভর্নর		গভর্নর
গভর্নরটি,		গভর্নর		গভর্নর		গভর্নর
গভর্নরখানা,		গভর্নর		গভর্নর		গভর্নর
গভর্নরদের,		গভর্নর		গভর্নর		গভর্নর
গভর্নরবৃন্দ		গভর্নর		গভর্নর		গভর্নর
গভর্নরকে,		গভর্নর		গভর্নর		গভর্নর
গভর্নরর,		গভর্নর		গভর্নর		গভর্নর
গভর্নরের,		গভর্নর		গভর্নর		গভর্নর
গভর্নরতে,		গভর্নর		গভর্নর		গভর্নর
গভর্নরে		গভর্নর		গভর্নর		গভর্নর
গভর্নরই,		গভর্নর		গভর্নর		গভর্নর
গভর্নরও		গভর্নর		গভর্নর		গভর্নর
তাজমহলগুলো,	তাজমহল		তাজমহল		তাজমহলগুলো,
তাজমহলটা,		তাজমহল		তাজমহল		তাজমহলটা,
তাজমহলটি,		তাজমহল		তাজমহল		তাজমহলটি,
তাজমহলখানা,	তালকানা		তাজমহল		তাজমহলখানা,
তাজমহলদের,	তাজমহল		তাজমহল		তাজমহলদের,
তাজমহলবৃন্দ		তালবৃক্ষ		তাজমহল		তাজমহলবৃন্দ
তাজমহলকে,	তাজমহল		তাজমহল		তাজমহলকে,
তাজমহলর,		তাজমহল		তাজমহল		তাজমহলর,
তাজমহলের,		তাজমহল		তাজমহল		তাজমহলের,
তাজমহলতে,		তাজমহল		তাজমহল		তাজমহলতে,
তাজমহলে		তাজমহল		তাজমহল		তাজমহলে
তাজমহলই,		তাজমহল		তাজমহল		তাজমহলই,
তাজমহলও		তাজমহল		তাজমহল		তাজমহলও
সূর্যগুলো,		সূর্যলোক		সূর্য		সূর্য
সূর্যটা,		সূর্যনাভ		সূর্য		সূর্য
সূর্যটি,		ধূর্জটি		সূর্য		সূর্য
সূর্যখানা,		সূর্যভানু		সূর্য		সূর্য
সূর্যদের,		সূর্যদেব		সূর্য		সূর্য
সূর্যবৃন্দ		সূর্য		সূর্য		সূর্য
সূর্যকে,		সূর্যদেব		সূর্য		সূর্য
সূর্যর,		সূর্য		সূর্য		সূর্য
সূর্যের,		সূর্য		সূর্য		সূর্য
সূর্যতে,		সূর্যদেব		সূর্য		সূর্য
সূর্যে		সূর্য		সূর্য		সূর্য
সূর্যই,		সূর্য		সূর্য		সূর্য
সূর্যও		সূর্য		সূর্য		সূর্য
চাঁদগুলো,		ফাঁদালো		চাঁদ		চাঁদ
চাঁদটা,		চাঁদা		চাঁদ		চাঁদ
চাঁদটি,		চাঁটি		চাঁদ		চাঁদ
চাঁদখানা,		চাঁদতারা		চাঁদ		চাঁদ
চাঁদদের,		চাদের		চাঁদ		চাঁদ
চাঁদবৃন্দ		চাঁদ		চাঁদ		চাঁদ
চাঁদকে,		চাঁদ		চাঁদ		চাঁদ
চাঁদর,		চাঁদ		চাঁদ		চাঁদ
চাঁদের,		চাদের		চাঁদ		চাঁদ
চাঁদতে,		চাঁদ		চাঁদ		চাঁদ
চাঁদে		চাঁদ		চাঁদ		চাঁদ
চাঁদই,		চাঁদ		চাঁদ		চাঁদ
চাঁদও		চাঁদ		চাঁদ		চাঁদ
আগ্রাগুলো,		আগ্রাসন		আগ্রা		আগ্রাগুলো,
আগ্রাটা,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাটি,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাখানা,		আড্ডাখানা		আগ্রা		আগ্রাখানা,
আগ্রাদের,		আমাদের		আগ্রা		আগ্রাদের,
আগ্রাবৃন্দ		আগ্রা		আগ্রা		আগ্রাবৃন্দ
আগ্রাকে,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রার,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাের,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাতে,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাে		আগ্রা		আগ্রা		আগ্রহ
আগ্রাই,		আগ্রাসন		আগ্রা		আগ্রহ
আগ্রাও		আগ্রা		আগ্রা		আগ্রহ
অক্সিজেনগুলো,	অক্সিজেন		অক্সিজেন		অক্সিজেনগুলো,
অক্সিজেনটা,		অক্সিজেন		অক্সিজেন		অক্সিজেনটা,
অক্সিজেনটি,		অক্সিজেন		অক্সিজেন		অক্সিজেনটি,
অক্সিজেনখানা,	অক্সিজেন		অক্সিজেন		অক্সিজেনখানা,
অক্সিজেনদের,	অক্সিজেন		অক্সিজেন		অক্সিজেনদের,
অক্সিজেনবৃন্দ	অক্সিজেন		অক্সিজেন		অক্সিজেনবৃন্দ
অক্সিজেনকে,	অক্সিজেন		অক্সিজেন		অক্সিজেনকে,
অক্সিজেনর,		অক্সিজেন		অক্সিজেন		অক্সিজেনর,
অক্সিজেনের,		অক্সিজেন		অক্সিজেন		অক্সিজেনের,
অক্সিজেনতে,	অক্সিজেন		অক্সিজেন		অক্সিজেনতে,
অক্সিজেনে		অক্সিজেন		অক্সিজেন		অক্সিজেনে
অক্সিজেনই,		অক্সিজেন		অক্সিজেন		অক্সিজেনই,
অক্সিজেনও		অক্সিজেন		অক্সিজেন		অক্সিজেনও
অজয়গুলো,		কোনগুলো		অজয়		গুলো
অজয়টা,		জোটা		অজয়		অজয়টা,
অজয়টি,		অজামিল		অজয়		অজয়টি,
অজয়খানা,		অজানা		অজয়		খানা
অজয়দের,		জয়দ্রথ		অজয়		অজয়দের,
অজয়বৃন্দ		বৃন্দ		অজয়		অজয়বৃন্দ
অজয়কে,		অজয়		অজয়		অজয়কে,
অজয়র,		অজগর		অজয়		অজয়র,
অজয়ের,		অজগর		অজয়		অজয়ের,
অজয়তে,		অজয়		অজয়		অজয়তে,
অজয়ে		অজয়		অজয়		জয়
অজয়ই,		অজয়		অজয়		অজয়ই,
অজয়ও		অজয়		অজয়		জয়
অঞ্জনগুলো,		অঞ্জনযুক্ত		অঞ্জন		অঞ্জনগুলো,
অঞ্জনটা,		অঞ্জনা		অঞ্জন		অঞ্জনটা,
অঞ্জনটি,		অঞ্জনিত		অঞ্জন		অঞ্জনটি,
অঞ্জনখানা,		অঞ্জনা		অঞ্জন		অঞ্জনখানা,
অঞ্জনদের,		অঞ্জনির		অঞ্জন		অঞ্জনদের,
অঞ্জনবৃন্দ		অঞ্জন		অঞ্জন		অঞ্জনবৃন্দ
অঞ্জনকে,		অঞ্জন		অঞ্জন		অঞ্জনকে,
অঞ্জনর,		অঞ্জন		অঞ্জন		অঞ্জনর,
অঞ্জনের,		অঞ্জনির		অঞ্জন		অঞ্জনের,
অঞ্জনতে,		অঞ্জন		অঞ্জন		অঞ্জনতে,
অঞ্জনে		অঞ্জন		অঞ্জন		অঞ্চল
অঞ্জনই,		অঞ্জন		অঞ্জন		অঞ্জনই,
অঞ্জনও		অঞ্জন		অঞ্জন		অঞ্চল
অঞ্জনাগুলো,		অঞ্জনা		অঞ্জনা		অঞ্জনাগুলো,
অঞ্জনাটা,		অঞ্জনা		অঞ্জনা		অঞ্জনাটা,
অঞ্জনাটি,		অঞ্জনা		অঞ্জনা		অঞ্জনাটি,
অঞ্জনাখানা,		অঞ্জনা		অঞ্জনা		অঞ্জনাখানা,
অঞ্জনাদের,		অঞ্জনা		অঞ্জনা		অঞ্জনাদের,
অঞ্জনাবৃন্দ		অঞ্জনা		অঞ্জনা		অঞ্জনাবৃন্দ
অঞ্জনাকে,		অঞ্জনা		অঞ্জনা		অঞ্জনাকে,
অঞ্জনার,		অঞ্জনা		অঞ্জনা		অঞ্জনার,
অঞ্জনাের,		অঞ্জনা		অঞ্জনা		অঞ্জনাের,
অঞ্জনাতে,		অঞ্জনা		অঞ্জনা		অঞ্জনাতে,
অঞ্জনাে		অঞ্জনা		অঞ্জনা		অঞ্জনাে
অঞ্জনাই,		অঞ্জনা		অঞ্জনা		অঞ্জনাই,
অঞ্জনাও		অঞ্জনা		অঞ্জনা		অঞ্জনাও
অপর্ণাগুলো,		অপর্ণা		অপর্ণা		অপর্ণাগুলো,
অপর্ণাটা,		অপর্ণা		অপর্ণা		অপর্ণাটা,
অপর্ণাটি,		অপর্ণা		অপর্ণা		অপর্ণাটি,
অপর্ণাখানা,		অপর্ণা		অপর্ণা		অপর্ণাখানা,
অপর্ণাদের,		অপর্ণা		অপর্ণা		অপর্ণাদের,
অপর্ণাবৃন্দ		পর্যাবৃত্ত		অপর্ণা		অপর্ণাবৃন্দ
অপর্ণাকে,		অপর্ণা		অপর্ণা		অপর্ণাকে,
অপর্ণার,		অপর্ণা		অপর্ণা		পর্ণ
অপর্ণাের,		অপর্ণা		অপর্ণা		অপর্ণাের,
অপর্ণাতে,		অপর্ণা		অপর্ণা		অপর্ণাতে,
অপর্ণাে		অপর্ণা		অপর্ণা		পর্ণ
অপর্ণাই,		অপর্ণা		অপর্ণা		পর্ণ
অপর্ণাও		অপর্ণা		অপর্ণা		পর্ণ
অমিতাভগুলো,	অমিতাভ		অমিতাভ		অমিতাভগুলো,
অমিতাভটা,		অমিতাভ		অমিতাভ		অমিতাভটা,
অমিতাভটি,		অমিতাভ		অমিতাভ		অমিতাভটি,
অমিতাভখানা,	অমিতাভ		অমিতাভ		অমিতাভখানা,
অমিতাভদের,	অমিতাভ		অমিতাভ		অমিতাভদের,
অমিতাভবৃন্দ		অমিতাভ		অমিতাভ		অমিতাভবৃন্দ
অমিতাভকে,		অমিতাভ		অমিতাভ		অমিতাভকে,
অমিতাভর,		অমিতাভ		অমিতাভ		অমিতাভর,
অমিতাভের,		অমিতাভ		অমিতাভ		অমিতাভের,
অমিতাভতে,		অমিতাভ		অমিতাভ		অমিতাভতে,
অমিতাভে		অমিতাভ		অমিতাভ		অমিতাভে
অমিতাভই,		অমিতাভ		অমিতাভ		অমিতাভই,
অমিতাভও		অমিতাভ		অমিতাভ		অমিতাভও
অর্ঘ্যগুলো,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যটা,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যটি,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যখানা,		অর্গ্যান		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যদের,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যবৃন্দ		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যকে,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যর,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যের,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যতে,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যে		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যই,		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্ঘ্যও		অর্ঘ্য		অর্ঘ্য		অর্ঘ্য
অর্জুনগুলো,		অর্জুন		অর্জুন		অর্জুনগুলো,
অর্জুনটা,		অর্জুন		অর্জুন		অর্জুনটা,
অর্জুনটি,		অর্জুন		অর্জুন		অর্জুনটি,
অর্জুনখানা,		অর্জুন_গাছ		অর্জুন		অর্জুনখানা,
অর্জুনদের,		অর্জুনের		অর্জুন		অর্জন
অর্জুনবৃন্দ		অর্জুন		অর্জুন		অর্জুনবৃন্দ
অর্জুনকে,		অর্জুনের		অর্জুন		অর্জন
অর্জুনর,		অর্জুন		অর্জুন		অর্জন
অর্জুনের,		অর্জুনের		অর্জুন		অর্জুনের,
অর্জুনতে,		অর্জুনের		অর্জুন		অর্জুনতে,
অর্জুনে		অর্জুন		অর্জুন		অর্জুনে
অর্জুনই,		অর্জুন		অর্জুন		অর্জুনই,
অর্জুনও		অর্জুন		অর্জুন		অর্জন
অশ্বত্থগুলো,		অশ্বত্থমূল		অশ্বত্থ		অশ্ব
অশ্বত্থটা,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থটি,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থখানা,		অশ্বত্থ_বন		অশ্বত্থ		অশ্ব
